run,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
551,5077,1.239501953125,0,0,0,0,192.08520078659058,1,0,0,-0.3557694195748723,1.0,5.0,1.0
552,5006,1.22216796875,0,0,0,0,188.7866551876068,1,0,0,-0.35966956605924727,1.0,5.0,1.0
553,575,0.140380859375,0,0,0,0,20.806391954421997,0,0,0,-0.7275880015314893,1.0,5.0,23.130434782608695
554,38,0.00927734375,0,0,0,0,1.3513820171356201,0,0,0,-0.7875982734277259,1.0,5.0,43.421052631578945
555,4823,1.177490234375,0,0,0,0,180.35541415214539,1,0,0,-0.36972205629362226,1.0,5.0,1.0
556,1153,0.281494140625,0,0,0,0,41.68451118469238,0,0,0,-0.6729489233982207,1.0,5.0,14.267129228100607
557,86,0.02099609375,0,0,0,0,3.082754373550415,0,0,0,-0.7824904868584431,1.0,5.0,41.27906976744186
558,4871,1.189208984375,0,0,0,0,183.34387683868408,1,0,0,-0.37759577179051057,1.0,5.0,1.4678710737014988
559,4761,1.162353515625,0,0,0,0,177.92172503471375,1,0,0,-0.37312781801237227,1.0,5.0,1.0
560,16384,4.0,1,0,0,0,926.7239143848419,1,1,1,0.8530699427176538,1.0,0.0,17.889404296875
561,4831,1.179443359375,0,0,0,0,181.1573097705841,1,0,0,-0.39037027570365157,1.0,5.0,2.0492651624922376
562,8304,2.02734375,0,0,0,0,352.0139334201813,1,1,0,-0.18538651688755536,1.0,5.0,1.5956165703275529
563,5140,1.2548828125,0,0,0,0,196.27074122428894,1,0,0,-0.4427486733522729,1.0,5.0,11.206225680933853
564,4933,1.204345703125,0,0,0,0,188.53640604019165,1,0,0,-0.36367957582487226,1.0,5.0,1.0
565,509,0.124267578125,0,0,0,0,18.667850255966187,0,0,0,-0.7354146737938394,1.0,5.0,25.24557956777996
566,2125,0.518798828125,0,0,0,0,76.99180579185486,0,0,0,-0.6356083050227951,1.0,5.0,20.04705882352941
567,4827,1.178466796875,0,0,0,0,181.054514169693,1,0,0,-0.3695023297311223,1.0,5.0,1.0
568,5019,1.225341796875,0,0,0,0,189.0763680934906,1,0,0,-0.3589554547311223,1.0,5.0,1.0
569,4768,1.1640625,0,0,0,0,179.13226437568665,1,0,0,-0.47079409636831004,1.0,5.0,13.213087248322148
570,4741,1.157470703125,0,0,0,0,176.13592505455017,1,0,0,-0.37422645082487227,1.0,5.0,1.0
571,123,0.030029296875,0,0,0,0,4.424858808517456,0,0,0,-0.7669980282252341,1.0,5.0,31.30081300813008
572,5143,1.255615234375,0,0,0,0,194.27226519584656,1,0,0,-0.35214393129362226,1.0,5.0,1.0
573,5127,1.251708984375,0,0,0,0,192.92830777168274,1,0,0,-0.3530228375436223,1.0,5.0,1.0
574,4829,1.178955078125,0,0,0,0,180.05064177513123,1,0,0,-0.3693924664498723,1.0,5.0,1.0
575,4853,1.184814453125,0,0,0,0,181.31849217414856,1,0,0,-0.37154160583015894,1.0,5.0,1.1436225015454358
576,174,0.04248046875,0,0,0,0,6.281482219696045,0,0,0,-0.7642290512450486,1.0,5.0,31.32183908045977
577,5099,1.244873046875,0,0,0,0,191.9227809906006,1,0,0,-0.3545609234811223,1.0,5.0,1.0
578,4872,1.189453125,0,0,0,0,182.1858241558075,1,0,0,-0.3676829437127718,1.0,5.0,1.026272577996716
579,4963,1.211669921875,0,0,0,0,186.33412384986877,1,0,0,-0.40893831870298536,1.0,5.0,4.110417086439654
580,84,0.0205078125,0,0,0,0,3.069960355758667,0,0,0,-0.777139579593548,1.0,5.0,36.904761904761905
581,890,0.21728515625,0,0,0,0,32.3395893573761,0,0,0,-0.716646191267939,1.0,5.0,26.404494382022474
582,4967,1.212646484375,0,0,0,0,186.24432849884033,1,0,0,-0.3618119000436223,1.0,5.0,1.0
583,4888,1.193359375,0,0,0,0,182.53379225730896,1,0,0,-0.3763502870042561,1.0,5.0,1.4525368248772503
584,1120,0.2734375,0,0,0,0,40.10443663597107,0,0,0,-0.6898450304248587,1.0,5.0,19.642857142857142
585,976,0.23828125,0,0,0,0,35.33375549316406,0,0,0,-0.6550497335948745,1.0,5.0,7.786885245901638
